Server,Sets,Games,Points,info,left_win,first,first_f,second,second_f
,,,,,,,,,
Alexander Zverev,1‑0,0‑2,0‑0,"1st serve down the T, fault (net). 2nd serve to body; backhand return inside-in, forced error.",True,T,N,B,
Alexander Zverev,1‑0,0‑2,15‑0,"1st serve wide, fault (net). 2nd serve wide, fault (net), double fault.",False,W,N,W,N
Alexander Zverev,1‑0,0‑2,15‑15,"1st serve wide; forehand return down the middle (very deep); forehand inside-out; backhand crosscourt; backhand down the line; forehand down the line; backhand down the middle; backhand slice inside-out; forehand down the line; backhand crosscourt; backhand drop shot down the line, winner. (11-shot rally)",True,W,,,
Alexander Zverev,1‑0,0‑2,30‑15,"1st serve wide, fault (net). 2nd serve wide; backhand return crosscourt (deep); backhand down the middle; forehand crosscourt; forehand lob down the middle; forehand swinging volley crosscourt (wide), unforced error. (5-shot rally)",True,W,N,W,
Alexander Zverev,1‑0,0‑2,40‑15,"1st serve down the T, fault (net). 2nd serve wide; forehand return down the line (deep); backhand slice down the middle, forced error.",False,T,N,W,
Alexander Zverev,1‑0,0‑2,40‑30,"1st serve down the T, fault (net). 2nd serve down the T, fault (long), double fault.",False,T,N,T,L
Alexander Zverev,1‑0,0‑2,40‑40,"1st serve wide, fault (net). 2nd serve to body; backhand return down the middle (very deep); backhand down the middle; backhand crosscourt; backhand crosscourt; forehand inside-in; forehand crosscourt; forehand down the line; backhand down the middle; backhand down the middle; forehand down the middle; backhand down the middle; forehand crosscourt; forehand (shank), unforced error. (13-shot rally)",True,W,N,B,
Alexander Zverev,1‑0,0‑2,AD‑40,"1st serve wide; backhand return crosscourt (deep); backhand drop shot down the line (wide), unforced error.",False,W,,,
Alexander Zverev,1‑0,0‑2,40‑40,"1st serve down the T, fault (net). 2nd serve wide; forehand return down the middle (deep); backhand inside-out; forehand chip/slice down the middle; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand down the middle; backhand crosscourt; backhand crosscourt, forced error. (9-shot rally)",True,T,N,W,
Alexander Zverev,1‑0,0‑2,AD‑40,"1st serve wide; backhand slice return crosscourt, forced error.",True,W,,,
,,,,,,,,,
Kei Nishikori,0‑1,2‑1,0‑0,"1st serve wide; forehand return crosscourt (shallow); forehand approach shot down the line (net cord) (long), unforced error.",False,W,,,
Kei Nishikori,0‑1,2‑1,0‑15,"1st serve wide, fault (net). 2nd serve wide, fault (net), double fault.",False,W,N,W,N
Kei Nishikori,0‑1,2‑1,0‑30,"1st serve wide; forehand return down the middle (very deep); forehand inside-out; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand down the middle; backhand inside-out; forehand down the middle; backhand approach shot crosscourt; backhand lob down the middle; smash crosscourt, winner. (12-shot rally)",False,W,,,
Kei Nishikori,0‑1,2‑1,0‑40,"1st serve down the T, fault (long). 2nd serve wide, fault (long), double fault.",False,T,L,W,L
,,,,,,,,,
Alexander Zverev,1‑0,2‑2,0‑0,"1st serve wide, fault (long). 2nd serve down the T, fault (long), double fault.",False,W,L,T,L
Alexander Zverev,1‑0,2‑2,0‑15,"1st serve wide; backhand slice return, forced error.",True,W,,,
Alexander Zverev,1‑0,2‑2,15‑15,"1st serve wide, ace.",True,W,,,
Alexander Zverev,1‑0,2‑2,30‑15,"1st serve down the T; forehand return inside-out (very deep); backhand crosscourt; forehand inside-out; backhand crosscourt; forehand inside-out (wide), unforced error. (5-shot rally)",True,T,,,
Alexander Zverev,1‑0,2‑2,40‑15,"1st serve down the T, fault (long). 2nd serve down the T, fault (wide), double fault.",False,T,L,T,W
Alexander Zverev,1‑0,2‑2,40‑30,"1st serve wide, fault (long). 2nd serve down the T; forehand chip/slice return down the middle, forced error.",True,W,L,T,
,,,,,,,,,
Kei Nishikori,0‑1,2‑3,0‑0,"1st serve down the T; backhand return down the middle (very deep); backhand down the middle; backhand crosscourt; backhand crosscourt; backhand down the line; forehand down the middle; backhand crosscourt; backhand crosscourt; backhand slice crosscourt; forehand approach shot inside-in; forehand chip/slice crosscourt, forced error. (11-shot rally)",True,T,,,
Kei Nishikori,0‑1,2‑3,15‑0,"1st serve wide; backhand return crosscourt (very deep); backhand down the line (long), unforced error.",False,W,,,
Kei Nishikori,0‑1,2‑3,15‑15,"1st serve down the T, fault (long). 2nd serve down the T; backhand return inside-out, forced error.",True,T,L,T,
Kei Nishikori,0‑1,2‑3,30‑15,"1st serve down the T; forehand return down the middle (very deep); forehand inside-out; backhand crosscourt (net), unforced error.",True,T,,,
Kei Nishikori,0‑1,2‑3,40‑15,"1st serve down the T, fault (long). 2nd serve down the T; backhand return down the middle (very deep); forehand inside-out; backhand crosscourt; backhand crosscourt; backhand down the line (wide and long), unforced error. (5-shot rally)",True,T,L,T,
,,,,,,,,,
Alexander Zverev,1‑0,3‑3,0‑0,"1st serve down the T, fault (net). 2nd serve down the T; backhand return crosscourt (very deep); backhand crosscourt; backhand down the line; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand approach shot down the line; backhand slice crosscourt, forced error. (8-shot rally)",False,T,N,T,
Alexander Zverev,1‑0,3‑3,0‑15,"1st serve down the T, fault (net). 2nd serve to body; forehand return down the middle (very deep); forehand down the middle (long), unforced error.",False,T,N,B,
Alexander Zverev,1‑0,3‑3,0‑30,"1st serve wide, fault (wide and long). 2nd serve to body; backhand return inside-in (deep); backhand crosscourt (long), unforced error.",False,W,,B,
Alexander Zverev,1‑0,3‑3,0‑40,"1st serve wide, fault (net). 2nd serve down the T; forehand return inside-out (shallow); backhand crosscourt; backhand slice crosscourt; backhand slice at net down the middle (long), unforced error. (4-shot rally)",False,W,N,T,
,,,,,,,,,
Kei Nishikori,0‑1,4‑3,0‑0,"1st serve down the T; backhand return down the middle (deep); forehand crosscourt; forehand down the middle; forehand crosscourt; forehand down the middle; forehand approach shot inside-out; backhand crosscourt; backhand volley down the line; forehand down the line, winner. (10-shot rally)",False,T,,,
Kei Nishikori,0‑1,4‑3,0‑15,"1st serve down the T, fault (net). 2nd serve wide; backhand return down the middle (very deep); forehand inside-out; backhand down the middle (long), unforced error.",True,T,N,W,
Kei Nishikori,0‑1,4‑3,15‑15,"1st serve down the T; backhand return down the middle (very deep); forehand inside-out; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand crosscourt; forehand down the line; backhand down the middle; backhand down the middle; forehand down the middle; backhand inside-out (net), unforced error. (13-shot rally)",True,T,,,
Kei Nishikori,0‑1,4‑3,30‑15,"1st serve down the T; forehand return down the middle (deep); forehand inside-out; backhand down the middle (long), unforced error.",True,T,,,
Kei Nishikori,0‑1,4‑3,40‑15,"1st serve wide; forehand return, forced error.",True,W,,,
,,,,,,,,,
Alexander Zverev,1‑0,3‑5,0‑0,"1st serve wide, fault (net). 2nd serve to body; backhand return approach shot inside-in (very deep); backhand slice down the middle, forced error.",False,W,N,B,
Alexander Zverev,1‑0,3‑5,0‑15,"1st serve down the T, fault (long). 2nd serve wide; backhand return crosscourt (very deep); backhand down the line; forehand chip/slice, forced error.",True,T,L,W,
Alexander Zverev,1‑0,3‑5,15‑15,"1st serve down the T, fault (long). 2nd serve down the T; backhand return down the middle (deep); backhand crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand down the line; backhand crosscourt; backhand slice down the middle; forehand drop shot inside-out, winner. (10-shot rally)",False,T,L,T,
Alexander Zverev,1‑0,3‑5,15‑30,"1st serve down the T, fault (net). 2nd serve wide; backhand return crosscourt (very deep); backhand down the middle (net), unforced error.",False,T,N,W,
Alexander Zverev,1‑0,3‑5,15‑40,"1st serve wide; forehand return down the middle (deep); forehand inside-out (wide), unforced error.",False,W,,,
,,,,,,,,,
Kei Nishikori,1‑1,0‑0,0‑0,"1st serve wide, fault (wide). 2nd serve down the T; backhand return down the middle (deep); backhand crosscourt; backhand crosscourt; backhand down the line, winner. (5-shot rally)",True,W,W,T,
Kei Nishikori,1‑1,0‑0,15‑0,"1st serve wide; backhand return crosscourt (shallow); backhand approach shot down the line; forehand chip/slice crosscourt, forced error.",True,W,,,
Kei Nishikori,1‑1,0‑0,30‑0,"1st serve wide, fault (long). 2nd serve wide; forehand return down the middle (very deep); forehand inside-out (wide), unforced error.",False,W,L,W,
Kei Nishikori,1‑1,0‑0,30‑15,"1st serve wide, fault (net). 2nd serve down the T; forehand return down the middle (deep); backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand inside-out; backhand crosscourt; backhand crosscourt; backhand down the middle; backhand down the middle; forehand inside-out; backhand crosscourt; backhand crosscourt; backhand down the line; forehand down the middle; forehand down the middle; backhand crosscourt; backhand down the middle; backhand crosscourt; backhand crosscourt; backhand down the line; forehand chip/slice crosscourt, forced error. (22-shot rally)",False,W,N,T,
Kei Nishikori,1‑1,0‑0,30‑30,"1st serve down the T, fault (net). 2nd serve down the T; backhand return down the middle (deep); forehand inside-out; backhand crosscourt; forehand inside-out (net), unforced error. (4-shot rally)",False,T,N,T,
Kei Nishikori,1‑1,0‑0,30‑40,"1st serve down the T, fault (long). 2nd serve wide; backhand return crosscourt (very deep); backhand crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand approach shot down the middle; backhand inside-out, forced error. (7-shot rally)",True,T,L,W,
Kei Nishikori,1‑1,0‑0,40‑40,"1st serve wide; forehand return crosscourt (deep); forehand down the line (net), unforced error.",False,W,,,
Kei Nishikori,1‑1,0‑0,40‑AD,"1st serve wide, fault (long). 2nd serve to body; backhand return crosscourt (deep); backhand down the line; forehand chip/slice crosscourt; forehand crosscourt, winner. (5-shot rally)",True,W,L,B,
Kei Nishikori,1‑1,0‑0,40‑40,"1st serve wide, ace.",True,W,,,
Kei Nishikori,1‑1,0‑0,AD‑40,"1st serve wide, fault (long). 2nd serve wide; backhand return crosscourt, forced error.",True,W,L,W,
,,,,,,,,,
Alexander Zverev,1‑1,0‑1,0‑0,"1st serve down the T, fault (long). 2nd serve down the T; backhand return inside-out (shallow); forehand down the middle; backhand inside-out (wide), unforced error.",True,T,L,T,
Alexander Zverev,1‑1,0‑1,15‑0,"1st serve wide, fault (long). 2nd serve wide; backhand return down the line (very deep), winner.",False,W,L,W,
Alexander Zverev,1‑1,0‑1,15‑15,"1st serve wide; forehand return down the middle (very deep); forehand crosscourt (long), unforced error.",False,W,,,
Alexander Zverev,1‑1,0‑1,15‑30,"1st serve down the T, fault (long). 2nd serve wide; backhand return down the middle (deep); forehand down the middle; forehand inside-out; backhand crosscourt; forehand inside-out; backhand crosscourt; backhand down the line; forehand down the line; backhand drop shot crosscourt, winner. (10-shot rally)",False,T,L,W,
Alexander Zverev,1‑1,0‑1,15‑40,"1st serve wide, ace.",True,W,,,
Alexander Zverev,1‑1,0‑1,30‑40,"1st serve down the T; forehand return down the middle, forced error.",True,T,,,
Alexander Zverev,1‑1,0‑1,40‑40,"1st serve wide; forehand return down the middle, forced error.",True,W,,,
Alexander Zverev,1‑1,0‑1,AD‑40,"1st serve wide; backhand return crosscourt (deep); backhand crosscourt, winner.",True,W,,,
,,,,,,,,,
Kei Nishikori,1‑1,1‑1,0‑0,"1st serve down the T, fault (wide). 2nd serve to body; backhand return down the middle (deep); backhand crosscourt, winner.",True,T,W,B,
Kei Nishikori,1‑1,1‑1,15‑0,"1st serve wide; backhand return down the middle (shallow) (net cord); forehand chip/slice at net down the middle; forehand crosscourt, winner. (4-shot rally)",False,W,,,
Kei Nishikori,1‑1,1‑1,15‑15,"1st serve to body; backhand return down the middle (deep); backhand approach shot crosscourt; backhand lob down the middle; smash down the middle, winner. (5-shot rally)",True,B,,,
Kei Nishikori,1‑1,1‑1,30‑15,"1st serve down the T; forehand return down the middle (very deep); forehand down the middle; forehand inside-out; backhand down the middle; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand chip/slice down the middle; forehand swinging volley inside-out; backhand lob down the line, forced error. (13-shot rally)",True,T,,,
Kei Nishikori,1‑1,1‑1,40‑15,"1st serve down the T, fault (wide). 2nd serve down the T; backhand return inside-out (very deep); forehand crosscourt; forehand down the line; backhand crosscourt; backhand drop shot down the line; forehand down the line, winner. (7-shot rally)",True,T,W,T,
,,,,,,,,,
Alexander Zverev,1‑1,1‑2,0‑0,"1st serve down the T; backhand return down the middle (shallow); forehand approach shot crosscourt; forehand lob crosscourt; smash at baseline crosscourt, winner. (5-shot rally)",True,T,,,
Alexander Zverev,1‑1,1‑2,15‑0,"1st serve wide; backhand return crosscourt (very deep); backhand down the middle; forehand crosscourt; forehand crosscourt; forehand approach shot down the line; backhand lob down the middle; smash inside-out; backhand crosscourt; backhand volley down the line; forehand chip/slice, forced error. (10-shot rally)",False,W,,,
Alexander Zverev,1‑1,1‑2,15‑15,"1st serve wide; forehand return down the middle (very deep); backhand crosscourt; backhand slice crosscourt; backhand drop shot down the line; forehand chip/slice down the line, forced error. (5-shot rally)",True,W,,,
Alexander Zverev,1‑1,1‑2,30‑15,"1st serve wide, fault (net). 2nd serve wide, fault (long), double fault.",False,W,N,W,L
Alexander Zverev,1‑1,1‑2,30‑30,"1st serve wide, ace.",True,W,,,
Alexander Zverev,1‑1,1‑2,40‑30,"1st serve down the T; forehand chip/slice return down the middle, forced error.",True,T,,,
,,,,,,,,,
Kei Nishikori,1‑1,2‑2,0‑0,"1st serve down the T; backhand slice return inside-out (very deep); forehand down the line; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand down the middle; backhand slice down the middle; forehand approach shot crosscourt; forehand down the line; backhand volley crosscourt, winner. (15-shot rally)",True,T,,,
Kei Nishikori,1‑1,2‑2,15‑0,"1st serve down the T, fault (long). 2nd serve wide; backhand return crosscourt (deep); backhand down the middle; forehand down the middle; forehand approach shot inside-out, winner. (5-shot rally)",True,T,L,W,
Kei Nishikori,1‑1,2‑2,30‑0,"1st serve wide, fault (wide). 2nd serve down the T; backhand return down the middle (very deep); forehand inside-out; backhand slice crosscourt; forehand drop shot inside-out; backhand slice down the line, forced error. (5-shot rally)",True,W,W,T,
Kei Nishikori,1‑1,2‑2,40‑0,"1st serve wide; backhand return crosscourt, forced error.",True,W,,,
,,,,,,,,,
Alexander Zverev,1‑1,2‑3,0‑0,"1st serve wide; forehand return down the middle (shallow); backhand approach shot crosscourt; backhand crosscourt; backhand volley down the line; forehand chip/slice crosscourt; forehand volley down the line, winner. (7-shot rally)",True,W,,,
